starttime	seconds	ctime	dtime	ttime	wait
Wed Aug 14 16:36:28 2019	1565793388	0	1557	1557	1368
Wed Aug 14 16:35:53 2019	1565793353	0	1558	1558	1363
Wed Aug 14 16:37:47 2019	1565793467	0	1558	1558	1371
Wed Aug 14 16:35:42 2019	1565793342	0	1558	1558	1375
Wed Aug 14 16:35:50 2019	1565793350	0	1558	1558	1364
Wed Aug 14 16:37:37 2019	1565793457	0	1559	1559	1369
Wed Aug 14 16:35:58 2019	1565793358	0	1559	1559	1366
Wed Aug 14 16:36:26 2019	1565793386	0	1559	1559	1362
Wed Aug 14 16:37:55 2019	1565793475	0	1559	1559	1365
Wed Aug 14 16:37:37 2019	1565793457	0	1559	1559	1365
Wed Aug 14 16:36:14 2019	1565793374	0	1559	1559	1375
Wed Aug 14 16:36:55 2019	1565793415	0	1559	1559	1374
Wed Aug 14 16:37:36 2019	1565793456	0	1559	1559	1370
Wed Aug 14 16:37:18 2019	1565793438	0	1559	1559	1361
Wed Aug 14 16:36:27 2019	1565793387	0	1559	1559	1364
Wed Aug 14 16:36:20 2019	1565793380	0	1559	1559	1376
Wed Aug 14 16:36:40 2019	1565793400	0	1559	1559	1375
Wed Aug 14 16:36:01 2019	1565793361	0	1560	1560	1377
Wed Aug 14 16:37:04 2019	1565793424	0	1560	1560	1368
Wed Aug 14 16:35:12 2019	1565793312	0	1560	1560	1319
Wed Aug 14 16:36:34 2019	1565793394	0	1560	1560	1349
Wed Aug 14 16:35:49 2019	1565793349	0	1560	1560	1363
Wed Aug 14 16:36:01 2019	1565793361	0	1560	1560	1376
Wed Aug 14 16:37:30 2019	1565793450	0	1560	1560	1361
Wed Aug 14 16:35:53 2019	1565793353	0	1560	1560	1364
Wed Aug 14 16:35:57 2019	1565793357	0	1561	1561	1351
Wed Aug 14 16:34:46 2019	1565793286	0	1561	1561	1370
Wed Aug 14 16:35:59 2019	1565793359	0	1561	1561	1381
Wed Aug 14 16:35:47 2019	1565793347	0	1561	1561	1373
Wed Aug 14 16:37:16 2019	1565793436	0	1561	1561	1369
Wed Aug 14 16:36:00 2019	1565793360	0	1561	1561	1348
Wed Aug 14 16:36:27 2019	1565793387	0	1561	1561	1365
Wed Aug 14 16:37:38 2019	1565793458	0	1562	1562	1371
Wed Aug 14 16:35:42 2019	1565793342	0	1562	1562	1376
Wed Aug 14 16:37:52 2019	1565793472	0	1562	1562	1360
Wed Aug 14 16:36:51 2019	1565793411	0	1562	1562	1369
Wed Aug 14 16:37:37 2019	1565793457	0	1562	1562	1363
Wed Aug 14 16:35:15 2019	1565793315	0	1562	1563	1376
Wed Aug 14 16:35:47 2019	1565793347	0	1563	1563	1380
Wed Aug 14 16:36:51 2019	1565793411	0	1563	1563	1374
Wed Aug 14 16:35:08 2019	1565793308	0	1563	1563	1379
Wed Aug 14 16:37:55 2019	1565793475	0	1564	1564	1371
Wed Aug 14 16:35:52 2019	1565793352	0	1564	1564	1367
Wed Aug 14 16:36:56 2019	1565793416	0	1564	1564	1374
Wed Aug 14 16:37:33 2019	1565793453	0	1564	1564	1384
Wed Aug 14 16:37:57 2019	1565793477	0	1564	1564	1372
Wed Aug 14 16:37:38 2019	1565793458	0	1564	1564	1367
Wed Aug 14 16:35:03 2019	1565793303	0	1564	1564	1353
Wed Aug 14 16:37:25 2019	1565793445	0	1564	1564	1365
Wed Aug 14 16:35:48 2019	1565793348	0	1565	1565	1368
Wed Aug 14 16:34:49 2019	1565793289	0	1565	1565	1370
Wed Aug 14 16:36:53 2019	1565793413	0	1565	1565	1355
